t =25.00;curr score = -86.34
t =1.12;curr score = -72.11
t =1.11;curr score = -71.96
t =1.10;curr score = -70.26
t =1.09;curr score = -70.61
t =1.08;curr score = -70.26
t =1.07;curr score = -70.61
t =1.05;curr score = -70.26
t =1.04;curr score = -71.40
t =1.03;curr score = -71.78
t =1.02;curr score = -71.40
t =1.01;curr score = -71.87
t =1.00;curr score = -71.40
t =0.99;curr score = -71.67
t =0.98;curr score = -71.40
t =0.97;curr score = -71.87
t =0.96;curr score = -71.40
t =0.95;curr score = -71.87
t =0.94;curr score = -71.40
t =0.93;curr score = -71.78
t =0.93;curr score = -71.40
t =0.92;curr score = -71.87
t =0.91;curr score = -71.40
t =0.90;curr score = -71.87
t =0.89;curr score = -71.40
t =0.88;curr score = -70.26
t =0.87;curr score = -71.28
t =0.86;curr score = -71.13
t =0.85;curr score = -71.72
t =0.85;curr score = -70.61
t =0.84;curr score = -71.88
t =0.83;curr score = -72.24
t =0.82;curr score = -71.74
t =0.81;curr score = -72.12
t =0.80;curr score = -71.74
t =0.80;curr score = -72.12
t =0.79;curr score = -71.74
t =0.78;curr score = -72.12
t =0.77;curr score = -71.74
t =0.76;curr score = -72.21
t =0.76;curr score = -71.74
t =0.75;curr score = -72.24
t =0.74;curr score = -72.85
t =0.73;curr score = -72.24
t =0.73;curr score = -71.74
t =0.72;curr score = -72.21
t =0.71;curr score = -71.74
t =0.71;curr score = -72.21
t =0.70;curr score = -71.74
t =0.69;curr score = -72.21
t =0.68;curr score = -71.74
t =0.68;curr score = -72.02
t =0.67;curr score = -71.74
t =0.66;curr score = -72.02
t =0.66;curr score = -71.74
t =0.65;curr score = -72.21
t =0.64;curr score = -71.74
t =0.64;curr score = -72.12
t =0.63;curr score = -71.74
t =0.63;curr score = -72.21
t =0.62;curr score = -71.74
t =0.61;curr score = -72.02
t =0.61;curr score = -71.74
t =0.60;curr score = -72.02
t =0.59;curr score = -71.74
t =0.59;curr score = -72.24
t =0.58;curr score = -71.74
t =0.58;curr score = -72.21
t =0.57;curr score = -71.74
t =0.57;curr score = -72.12
t =0.56;curr score = -71.74
t =0.55;curr score = -72.02
t =0.55;curr score = -71.74
t =0.54;curr score = -72.02
t =0.54;curr score = -71.74
t =0.53;curr score = -72.21
t =0.53;curr score = -71.74
t =0.52;curr score = -72.12
t =0.52;curr score = -71.74
t =0.51;curr score = -72.12
t =0.51;curr score = -71.74
t =0.50;curr score = -71.60
t =0.50;curr score = -71.74
t =0.49;curr score = -72.21
t =0.49;curr score = -71.74
t =0.48;curr score = -71.60
t =0.48;curr score = -71.74
t =0.47;curr score = -72.12
t =0.47;curr score = -71.74
t =0.46;curr score = -72.30
t =0.46;curr score = -71.74
t =0.45;curr score = -72.02
t =0.45;curr score = -71.74
t =0.44;curr score = -72.21
t =0.44;curr score = -71.74
t =0.44;curr score = -72.21
t =0.43;curr score = -71.74
t =0.43;curr score = -72.21
t =0.42;curr score = -71.74
t =0.42;curr score = -72.21
t =0.41;curr score = -71.74
t =0.41;curr score = -72.02
t =0.41;curr score = -71.74
t =0.40;curr score = -72.02
t =0.40;curr score = -71.74
t =0.39;curr score = -72.21
t =0.39;curr score = -71.74
t =0.39;curr score = -72.02
t =0.38;curr score = -71.74
t =0.38;curr score = -72.21
t =0.37;curr score = -71.74
t =0.37;curr score = -71.60
t =0.37;curr score = -71.74
t =0.36;curr score = -72.21
t =0.36;curr score = -71.74
t =0.36;curr score = -72.12
t =0.35;curr score = -71.74
t =0.35;curr score = -72.21
t =0.35;curr score = -71.74
t =0.34;curr score = -72.02
t =0.34;curr score = -71.74
t =0.34;curr score = -72.12
t =0.33;curr score = -71.74
t =0.33;curr score = -72.21
t =0.33;curr score = -71.74
t =0.32;curr score = -71.60
t =0.32;curr score = -71.74
t =0.32;curr score = -71.60
t =0.31;curr score = -71.74
t =0.31;curr score = -72.21
t =0.31;curr score = -71.74
t =0.30;curr score = -72.12
t =0.30;curr score = -71.74
t =0.30;curr score = -72.02
t =0.29;curr score = -71.74
t =0.29;curr score = -72.24
t =0.29;curr score = -71.74
t =0.29;curr score = -72.12
t =0.28;curr score = -71.74
t =0.28;curr score = -71.60
t =0.28;curr score = -71.74
t =0.27;curr score = -71.60
t =0.27;curr score = -71.74
t =0.27;curr score = -71.60
t =0.27;curr score = -71.74
t =0.26;curr score = -72.12
t =0.26;curr score = -71.74
t =0.26;curr score = -72.12
t =0.26;curr score = -71.74
t =0.25;curr score = -72.02
t =0.25;curr score = -71.74
t =0.25;curr score = -71.60
t =0.25;curr score = -71.74
t =0.24;curr score = -71.60
t =0.24;curr score = -71.74
t =0.24;curr score = -72.02
t =0.24;curr score = -71.74
t =0.23;curr score = -72.02
t =0.23;curr score = -71.74
t =0.23;curr score = -71.60
t =0.23;curr score = -70.67
t =0.22;curr score = -70.67
t =0.22;curr score = -70.67
t =0.22;curr score = -70.67
t =0.22;curr score = -70.67
t =0.22;curr score = -70.67
t =0.21;curr score = -70.67
t =0.21;curr score = -70.67
t =0.21;curr score = -70.67
t =0.21;curr score = -70.67
t =0.20;curr score = -70.67
t =0.20;curr score = -70.67
t =0.20;curr score = -70.67
t =0.20;curr score = -70.39
t =0.20;curr score = -70.51
t =0.19;curr score = -70.26
t =0.19;curr score = -70.12
t =0.19;curr score = -70.26
t =0.19;curr score = -70.51
t =0.19;curr score = -70.26
t =0.19;curr score = -70.12
t =0.18;curr score = -70.28
t =0.18;curr score = -70.12
t =0.18;curr score = -70.26
t =0.18;curr score = -70.12
t =0.18;curr score = -70.26
t =0.17;curr score = -70.12
t =0.17;curr score = -70.26
t =0.17;curr score = -70.12
t =0.17;curr score = -69.99
t =0.17;curr score = -70.12
t =0.17;curr score = -70.27
t =0.16;curr score = -70.12
t =0.16;curr score = -70.26
t =0.16;curr score = -70.51
t =0.16;curr score = -70.26
t =0.16;curr score = -70.12
t =0.16;curr score = -70.20
t =0.15;curr score = -70.12
t =0.15;curr score = -70.20
t =0.15;curr score = -70.12
t =0.15;curr score = -70.54
t =0.15;curr score = -70.12
t =0.15;curr score = -70.54
t =0.15;curr score = -70.12
t =0.14;curr score = -70.94
t =0.14;curr score = -70.92
t =0.14;curr score = -70.94
t =0.14;curr score = -70.92
t =0.14;curr score = -70.94
t =0.14;curr score = -70.92
t =0.14;curr score = -70.94
t =0.13;curr score = -70.92
t =0.13;curr score = -70.18
t =0.13;curr score = -70.25
t =0.13;curr score = -70.18
t =0.13;curr score = -70.35
t =0.13;curr score = -70.18
t =0.13;curr score = -70.25
t =0.13;curr score = -70.18
t =0.12;curr score = -70.25
t =0.12;curr score = -70.18
t =0.12;curr score = -70.33
t =0.12;curr score = -70.18
t =0.12;curr score = -70.33
t =0.12;curr score = -70.18
t =0.12;curr score = -70.35
t =0.12;curr score = -70.18
t =0.11;curr score = -70.05
t =0.11;curr score = -69.76
t =0.11;curr score = -68.16
t =0.11;curr score = -68.24
t =0.11;curr score = -68.16
t =0.11;curr score = -68.32
t =0.11;curr score = -68.16
t =0.11;curr score = -68.32
t =0.11;curr score = -68.16
t =0.10;curr score = -67.88
t =0.10;curr score = -67.97
t =0.10;curr score = -67.88
t =0.10;curr score = -67.97
t =0.10;curr score = -67.88
t =0.10;curr score = -67.90
t =0.10;curr score = -67.88
t =0.10;curr score = -67.90
t =0.10;curr score = -67.88
t =0.10;curr score = -67.97
t =0.09;curr score = -67.88
t =0.09;curr score = -67.97
t =0.09;curr score = -67.88
t =0.09;curr score = -67.90
t =0.09;curr score = -67.88
t =0.09;curr score = -67.90
t =0.09;curr score = -67.88
t =0.09;curr score = -67.97
t =0.09;curr score = -67.88
t =0.09;curr score = -67.90
t =0.09;curr score = -67.88
t =0.08;curr score = -67.90
t =0.08;curr score = -67.88
t =0.08;curr score = -67.90
t =0.08;curr score = -67.88
t =0.08;curr score = -67.87
t =0.08;curr score = -67.88
t =0.08;curr score = -67.90
t =0.08;curr score = -67.88
t =0.08;curr score = -67.90
t =0.08;curr score = -67.88
t =0.08;curr score = -67.97
t =0.08;curr score = -67.88
t =0.08;curr score = -67.90
t =0.07;curr score = -67.88
t =0.07;curr score = -67.90
t =0.07;curr score = -67.88
t =0.07;curr score = -67.90
t =0.07;curr score = -67.88
t =0.07;curr score = -67.90
t =0.07;curr score = -67.88
t =0.07;curr score = -67.90
t =0.07;curr score = -67.88
t =0.07;curr score = -67.90
t =0.07;curr score = -67.88
t =0.07;curr score = -67.87
t =0.07;curr score = -67.88
t =0.07;curr score = -67.97
t =0.06;curr score = -67.88
t =0.06;curr score = -67.97
t =0.06;curr score = -67.88
t =0.06;curr score = -67.97
t =0.06;curr score = -67.88
t =0.06;curr score = -67.97
t =0.06;curr score = -67.88
t =0.06;curr score = -67.87
t =0.06;curr score = -67.31
t =0.06;curr score = -67.35
t =0.06;curr score = -67.31
t =0.06;curr score = -66.86
t =0.06;curr score = -66.92
t =0.06;curr score = -66.86
t =0.06;curr score = -66.86
t =0.06;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.92
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.97
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.97
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.05;curr score = -66.86
t =0.04;curr score = -66.86
t =0.04;curr score = -66.86
t =0.04;curr score = -66.92
t =0.04;curr score = -66.86
t =0.04;curr score = -66.86
t =0.04;curr score = -66.86
t =0.04;curr score = -66.73
t =0.04;curr score = -66.73
t =0.04;curr score = -66.73
t =0.04;curr score = -66.73
t =0.04;curr score = -66.73
t =0.04;curr score = -66.86
t =0.04;curr score = -66.86
t =0.04;curr score = -66.86
t =0.04;curr score = -66.86
t =0.04;curr score = -66.86
t =0.04;curr score = -66.86
t =0.04;curr score = -66.86
t =0.04;curr score = -66.73
t =0.04;curr score = -66.73
t =0.04;curr score = -66.73
t =0.04;curr score = -66.73
t =0.04;curr score = -66.73
t =0.04;curr score = -66.73
t =0.04;curr score = -66.73
t =0.03;curr score = -66.73
t =0.03;curr score = -66.65
t =0.03;curr score = -66.60
t =0.03;curr score = -66.53
t =0.03;curr score = -66.54
t =0.03;curr score = -66.49
t =0.03;curr score = -66.40
t =0.03;curr score = -66.34
t =0.03;curr score = -66.37
t =0.03;curr score = -66.34
t =0.03;curr score = -66.02
t =0.03;curr score = -65.98
t =0.03;curr score = -66.02
t =0.03;curr score = -65.98
t =0.03;curr score = -66.02
t =0.03;curr score = -65.98
t =0.03;curr score = -66.02
t =0.03;curr score = -65.98
t =0.03;curr score = -65.64
t =0.03;curr score = -65.54
t =0.03;curr score = -65.50
t =0.03;curr score = -65.54
t =0.03;curr score = -65.50
t =0.03;curr score = -65.02
t =0.03;curr score = -64.71
t =0.03;curr score = -64.67
t =0.03;curr score = -64.20
t =0.03;curr score = -63.26
t =0.03;curr score = -62.54
t =0.03;curr score = -62.42
t =0.03;curr score = -62.46
t =0.03;curr score = -62.42
t =0.03;curr score = -62.46
t =0.03;curr score = -62.42
t =0.02;curr score = -62.46
t =0.02;curr score = -62.42
t =0.02;curr score = -62.04
t =0.02;curr score = -61.81
t =0.02;curr score = -61.79
t =0.02;curr score = -61.81
t =0.02;curr score = -61.79
t =0.02;curr score = -61.71
t =0.02;curr score = -61.58
t =0.02;curr score = -61.01
t =0.02;curr score = -60.10
t =0.02;curr score = -59.60
t =0.02;curr score = -59.38
t =0.02;curr score = -59.31
t =0.02;curr score = -58.52
t =0.02;curr score = -58.13
t =0.02;curr score = -58.13
t =0.02;curr score = -58.13
t =0.02;curr score = -58.13
t =0.02;curr score = -57.06
t =0.02;curr score = -57.06
t =0.02;curr score = -57.06
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.02;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -56.94
t =0.01;curr score = -55.87
t =0.01;curr score = -55.88
t =0.01;curr score = -55.87
t =0.01;curr score = -55.88
t =0.01;curr score = -55.87
t =0.01;curr score = -55.88
t =0.01;curr score = -55.87
t =0.01;curr score = -55.15
t =0.01;curr score = -55.15
t =0.01;curr score = -55.15
t =0.01;curr score = -55.15
t =0.01;curr score = -55.15
t =0.01;curr score = -55.15
t =0.01;curr score = -55.15
t =0.01;curr score = -54.84
t =0.01;curr score = -54.85
t =0.01;curr score = -54.84
t =0.01;curr score = -54.85
t =0.01;curr score = -54.84
t =0.01;curr score = -54.85
t =0.01;curr score = -54.84
t =0.01;curr score = -54.57
t =0.01;curr score = -54.56
t =0.01;curr score = -54.56
t =0.01;curr score = -54.56
t =0.01;curr score = -54.56
t =0.01;curr score = -54.56
t =0.01;curr score = -54.56
t =0.01;curr score = -54.56
t =0.01;curr score = -54.56
t =0.01;curr score = -54.56
t =0.01;curr score = -54.55
t =0.01;curr score = -54.55
t =0.01;curr score = -54.55
t =0.01;curr score = -54.43
t =0.01;curr score = -54.35
t =0.01;curr score = -54.35
t =0.01;curr score = -54.35
t =0.01;curr score = -54.32
t =0.01;curr score = -54.32
t =0.01;curr score = -54.32
t =0.01;curr score = -53.88
t =0.01;curr score = -53.35
t =0.01;curr score = -53.36
t =0.01;curr score = -53.35
t =0.01;curr score = -53.26
t =0.01;curr score = -53.26
t =0.01;curr score = -53.26
t =0.01;curr score = -53.21
t =0.01;curr score = -53.10
t =0.01;curr score = -53.02
t =0.01;curr score = -53.01
t =0.00;curr score = -52.57
t =0.00;curr score = -52.33
t =0.00;curr score = -52.02
t =0.00;curr score = -51.89
t =0.00;curr score = -51.79
t =0.00;curr score = -51.72
t =0.00;curr score = -51.37
t =0.00;curr score = -51.18
t =0.00;curr score = -51.13
t =0.00;curr score = -50.98
t =0.00;curr score = -50.86
t =0.00;curr score = -50.77
t =0.00;curr score = -50.39
t =0.00;curr score = -50.30
t =0.00;curr score = -50.02
t =0.00;curr score = -49.99
t =0.00;curr score = -49.53
t =0.00;curr score = -49.04
t =0.00;curr score = -48.83
t =0.00;curr score = -48.74
t =0.00;curr score = -48.64
t =0.00;curr score = -48.62
t =0.00;curr score = -47.61
t =0.00;curr score = -47.37
t =0.00;curr score = -47.11
t =0.00;curr score = -45.93
t =0.00;curr score = -45.84
t =0.00;curr score = -45.65
t =0.00;curr score = -45.52
t =0.00;curr score = -44.90
t =0.00;curr score = -44.70
t =0.00;curr score = -44.71
t =0.00;curr score = -44.70
t =0.00;curr score = -44.71
t =0.00;curr score = -44.70
t =0.00;curr score = -44.45
t =0.00;curr score = -43.96
t =0.00;curr score = -43.48
t =0.00;curr score = -43.40
t =0.00;curr score = -43.21
t =0.00;curr score = -42.32
t =0.00;curr score = -42.16
t =0.00;curr score = -42.14
t =0.00;curr score = -41.96
t =0.00;curr score = -41.90
t =0.00;curr score = -41.76
t =0.00;curr score = -41.74
t =0.00;curr score = -41.66
t =0.00;curr score = -41.29
t =0.00;curr score = -40.78
t =0.00;curr score = -40.71
t =0.00;curr score = -40.69
t =0.00;curr score = -40.65
t =0.00;curr score = -40.63
t =0.00;curr score = -40.57
t =0.00;curr score = -40.44
t =0.00;curr score = -40.29
t =0.00;curr score = -40.03
t =0.00;curr score = -39.81
t =0.00;curr score = -39.80
t =0.00;curr score = -39.67
t =0.00;curr score = -39.61
t =0.00;curr score = -39.59
t =0.00;curr score = -39.51
t =0.00;curr score = -39.49
t =0.00;curr score = -39.37
t =0.00;curr score = -39.12
t =0.00;curr score = -39.11
t =0.00;curr score = -38.86
t =0.00;curr score = -38.86
t =0.00;curr score = -38.86
t =0.00;curr score = -38.86
t =0.00;curr score = -38.86
t =0.00;curr score = -38.86
t =0.00;curr score = -38.86
t =0.00;curr score = -38.86
t =0.00;curr score = -38.34
t =0.00;curr score = -38.27
t =0.00;curr score = -37.97
t =0.00;curr score = -37.97
t =0.00;curr score = -37.97
t =0.00;curr score = -37.63
t =0.00;curr score = -37.63
t =0.00;curr score = -37.63
